Малын төрөл,Бүс,Код,Он,Утга
Бүгд,Өмнөговь,346,2025,0.1
Бүгд,Өмнөговь,346,2024,0.7
Бүгд,Өмнөговь,346,2023,0.9
Бүгд,Өмнөговь,346,2022,0.9
Бүгд,Өмнөговь,346,2021,0.4
Бүгд,Өмнөговь,346,2020,1.2
Бүгд,Өмнөговь,346,2019,0.3
Бүгд,Өмнөговь,346,2018,2.4
Бүгд,Өмнөговь,346,2017,0.4
Бүгд,Өмнөговь,346,2016,1.0
Бүгд,Өмнөговь,346,2015,0.7
Бүгд,Даланзадгад,34601,2025,0.0
Бүгд,Даланзадгад,34601,2024,0.0
Бүгд,Даланзадгад,34601,2023,0.0
Бүгд,Даланзадгад,34601,2022,0.0
Бүгд,Даланзадгад,34601,2021,0.0
Бүгд,Даланзадгад,34601,2020,0.0
Бүгд,Даланзадгад,34601,2019,0.0
Бүгд,Даланзадгад,34601,2018,0.0
Бүгд,Даланзадгад,34601,2017,0.0
Бүгд,Даланзадгад,34601,2016,0.1
Бүгд,Даланзадгад,34601,2015,0.1
Бүгд,"1-р баг, Баруунсайхан",3460151,2025,0.0
Бүгд,"1-р баг, Баруунсайхан",3460151,2024,0.0
Бүгд,"1-р баг, Баруунсайхан",3460151,2023,
Бүгд,"1-р баг, Баруунсайхан",3460151,2022,0.0
Бүгд,"1-р баг, Баруунсайхан",3460151,2021,
Бүгд,"1-р баг, Баруунсайхан",3460151,2020,
Бүгд,"1-р баг, Баруунсайхан",3460151,2019,0.0
Бүгд,"1-р баг, Баруунсайхан",3460151,2018,0.0
Бүгд,"1-р баг, Баруунсайхан",3460151,2017,0.0
Бүгд,"1-р баг, Баруунсайхан",3460151,2016,0.0
Бүгд,"1-р баг, Баруунсайхан",3460151,2015,0.0
Бүгд,"2-р баг, Хан-Уул",3460153,2025,0.0
Бүгд,"2-р баг, Хан-Уул",3460153,2024,0.0
Бүгд,"2-р баг, Хан-Уул",3460153,2023,
Бүгд,"2-р баг, Хан-Уул",3460153,2022,
Бүгд,"2-р баг, Хан-Уул",3460153,2021,
Бүгд,"2-р баг, Хан-Уул",3460153,2020,
Бүгд,"2-р баг, Хан-Уул",3460153,2019,0.0
Бүгд,"2-р баг, Хан-Уул",3460153,2018,0.0
Бүгд,"2-р баг, Хан-Уул",3460153,2017,0.0
Бүгд,"2-р баг, Хан-Уул",3460153,2016,0.0
Бүгд,"2-р баг, Хан-Уул",3460153,2015,0.0
Бүгд,"3-р баг, Далан",3460155,2025,0.0
Бүгд,"3-р баг, Далан",3460155,2024,0.0
Бүгд,"3-р баг, Далан",3460155,2023,
Бүгд,"3-р баг, Далан",3460155,2022,
Бүгд,"3-р баг, Далан",3460155,2021,
Бүгд,"3-р баг, Далан",3460155,2020,0.0
Бүгд,"3-р баг, Далан",3460155,2019,0.0
Бүгд,"3-р баг, Далан",3460155,2018,0.0
Бүгд,"3-р баг, Далан",3460155,2017,0.0
Бүгд,"3-р баг, Далан",3460155,2016,0.0
Бүгд,"3-р баг, Далан",3460155,2015,0.1
Бүгд,"4-р баг, Дундсайхан",3460157,2025,0.0
Бүгд,"4-р баг, Дундсайхан",3460157,2024,0.0
Бүгд,"4-р баг, Дундсайхан",3460157,2023,
Бүгд,"4-р баг, Дундсайхан",3460157,2022,
